scientificName,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
 Amazonetta brasiliensis,,BR,Brazil - Sao Paulo,,,2,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-23.677576,-46.528839,25,,,,,,2020-03-01T00:00:00,1,3,2020,2498411,2498411,HUMAN_OBSERVATION,,Observations,OBS.187909278,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2020-08-19T16:08:14.983Z,,COORDINATE_ROUNDED
Gallinula galeata,,BR,Brazil - Sao Paulo,,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-23.585608,-46.661205,10,,,,,,2019-12-27T00:00:00,27,12,2019,7340222,5228199,HUMAN_OBSERVATION,,Observations,OBS.183471636,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2020-08-19T15:45:50.080Z,,COORDINATE_ROUNDED
Saltator maxillosus,,BR,Brazil - Itatiaia NP,,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-22.362595,-44.734825,25,,,,,,2019-11-05T00:00:00,5,11,2019,5230924,5230924,HUMAN_OBSERVATION,,Observations,OBS.181948619,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2020-08-19T16:08:05.228Z,,COORDINATE_ROUNDED
Milvago chimachima,,BR,Brazil - REGUA - The Lodge gardens,,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-22.450874,-42.77079,25,,,,,,2019-08-23T00:00:00,23,8,2019,2481066,2481066,HUMAN_OBSERVATION,,Observations,OBS.178491730,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2020-08-19T16:07:27.727Z,,COORDINATE_ROUNDED
Syrigma sibilatrix,,BR,Brazil - REGUA - Guapiacu Watershed,,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-22.452391,-42.771297,25,,,,,,2019-08-23T00:00:00,23,8,2019,2480921,2480921,HUMAN_OBSERVATION,,Observations,OBS.178420181,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2020-08-19T16:07:26.763Z,,COORDINATE_ROUNDED
Pachyramphus validus,,BR,Brazil - Sao Paulo,,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-23.639391,-46.626727,10,,,,,,2020-01-03T00:00:00,3,1,2020,5230321,5230321,HUMAN_OBSERVATION,,Observations,OBS.183773911,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2020-08-19T16:07:47.914Z,,COORDINATE_ROUNDED
Mimus saturninus,,BR,Brazil - REGUA - Guapiacu Watershed,,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-22.475626,-42.74564,25,,,,,,2019-11-04T00:00:00,4,11,2019,5231675,5231675,HUMAN_OBSERVATION,,Observations,OBS.182215070,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2020-08-19T16:08:03.847Z,,COORDINATE_ROUNDED
Phibalura flavirostris,,BR,Brazil - Espirito Santo,,,2,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-20.466885,-41.004009,25,,,,,,2019-10-31T00:00:00,31,10,2019,2486509,2486509,HUMAN_OBSERVATION,,Observations,OBS.181785129,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2020-08-19T16:07:59.783Z,,COORDINATE_ROUNDED
Ramphastos vitellinus,,BR,Brazil - Espirito Santo,,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-20.506308,-41.009132,25,,,,,,2019-11-01T00:00:00,1,11,2019,2478782,2478782,HUMAN_OBSERVATION,,Observations,OBS.182214802,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2020-08-19T16:07:31.070Z,,COORDINATE_ROUNDED
Pachyramphus validus,,BR,Brazil - Sao Paulo,,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-23.639413,-46.620338,10,,,,,,2020-01-03T00:00:00,3,1,2020,5230321,5230321,HUMAN_OBSERVATION,,Observations,OBS.183773968,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2020-08-19T16:07:56.899Z,StillImage,COORDINATE_ROUNDED
